case_id,start_time,end_time,(case)_description,Variant,Variant_index,lifecycle_transition,Activity,defectFixed,defectType,numberRepairs,Resource,Role,phoneType,Cost
1,1970-01-02T13:23:00,1970-01-02T13:23:00,Simulated process instance, Variant 2,2, complete, Register,,,,System,System,,30
1,1970-01-02T13:23:00,1970-01-02T13:30:00,Simulated process instance, Variant 2,2, complete, Analyze Defect,,6,,Tester3,Tester3,T2,30
1,1970-01-02T13:31:00,1970-01-02T13:49:00,Simulated process instance, Variant 2,2, complete, Repair (Complex),,,,SolverC1,SolverC1,,20
1,1970-01-02T13:49:00,1970-01-02T13:55:00,Simulated process instance, Variant 2,2, complete, Test Repair,TRUE,,0,Tester3,Tester3,,15
1,1970-01-02T14:10:00,1970-01-02T14:10:00,Simulated process instance, Variant 2,2, complete, Inform User,,,,System,System,,24
1,1970-01-02T14:10:00,1970-01-02T14:10:00,Simulated process instance, Variant 2,2, complete, Archive Repair,TRUE,,0,System,System,,
10,1970-01-01T12:09:00,1970-01-01T12:09:00,Simulated process instance, Variant 8,8, complete, Register,,,,System,System,,
10,1970-01-01T12:09:00,1970-01-01T12:15:00,Simulated process instance, Variant 8,8, complete, Analyze Defect,,3,,Tester2,Tester2,T1,
10,1970-01-01T12:35:00,1970-01-01T12:42:00,Simulated process instance, Variant 8,8, complete, Repair (Simple),,,,SolverS1,SolverS1,,
10,1970-01-01T12:42:00,1970-01-01T12:48:00,Simulated process instance, Variant 8,8, complete, Test Repair,FALSE,,1,Tester6,Tester6,,
10,1970-01-01T12:54:00,1970-01-01T12:54:00,Simulated process instance, Variant 8,8, complete, Restart Repair,,,,System,System,,
10,1970-01-01T12:54:00,1970-01-01T13:03:00,Simulated process instance, Variant 8,8, complete, Repair (Simple),,,,SolverS2,SolverS2,,
10,1970-01-01T12:55:00,1970-01-01T12:55:00,Simulated process instance, Variant 8,8, complete, Inform User,,,,System,System,,
10,1970-01-01T13:03:00,1970-01-01T13:09:00,Simulated process instance, Variant 8,8, complete, Test Repair,TRUE,,2,Tester4,Tester4,,
10,1970-01-01T13:14:00,1970-01-01T13:14:00,Simulated process instance, Variant 8,8, complete, Archive Repair,TRUE,,2,System,System,,
100,1970-01-04T03:28:00,1970-01-04T03:28:00,Simulated process instance, Variant 2,2, complete, Register,,,,System,System,,
100,1970-01-04T03:28:00,1970-01-04T03:36:00,Simulated process instance, Variant 2,2, complete, Analyze Defect,,8,,Tester4,Tester4,T2,
100,1970-01-04T03:52:00,1970-01-04T04:09:00,Simulated process instance, Variant 2,2, complete, Repair (Complex),,,,SolverC1,SolverC1,,
100,1970-01-04T04:09:00,1970-01-04T04:18:00,Simulated process instance, Variant 2,2, complete, Test Repair,TRUE,,0,Tester1,Tester1,,
100,1970-01-04T04:20:00,1970-01-04T04:20:00,Simulated process instance, Variant 2,2, complete, Inform User,,,,System,System,,
100,1970-01-04T04:28:00,1970-01-04T04:28:00,Simulated process instance, Variant 2,2, complete, Archive Repair,TRUE,,0,System,System,,
1000,1970-01-22T07:23:00,1970-01-22T07:23:00,Simulated process instance, Variant 3,3, complete, Register,,,,System,System,,
1000,1970-01-22T07:23:00,1970-01-22T07:28:00,Simulated process instance, Variant 3,3, complete, Analyze Defect,,3,,Tester6,Tester6,T3,
1000,1970-01-22T07:35:00,1970-01-22T07:49:00,Simulated process instance, Variant 3,3, complete, Repair (Simple),,,,SolverS3,SolverS3,,
1000,1970-01-22T07:49:00,1970-01-22T07:58:00,Simulated process instance, Variant 3,3, complete, Test Repair,TRUE,,1,Tester6,Tester6,,
1000,1970-01-22T08:03:00,1970-01-22T08:03:00,Simulated process instance, Variant 3,3, complete, Inform User,,,,System,System,,
1000,1970-01-22T08:08:00,1970-01-22T08:08:00,Simulated process instance, Variant 3,3, complete, Archive Repair,TRUE,,1,System,System,,
1001,1970-01-22T08:51:00,1970-01-22T08:51:00,Simulated process instance, Variant 10,10, complete, Register,,,,System,System,,
1001,1970-01-22T08:51:00,1970-01-22T08:56:00,Simulated process instance, Variant 10,10, complete, Analyze Defect,,8,,Tester3,Tester3,T1,
1001,1970-01-22T09:06:00,1970-01-22T09:54:00,Simulated process instance, Variant 10,10, complete, Repair (Complex),,,,SolverC3,SolverC3,,
1001,1970-01-22T09:35:00,1970-01-22T09:35:00,Simulated process instance, Variant 10,10, complete, Inform User,,,,System,System,,
1001,1970-01-22T09:54:00,1970-01-22T10:00:00,Simulated process instance, Variant 10,10, complete, Test Repair,TRUE,,0,Tester5,Tester5,,
1002,1970-01-22T22:40:00,1970-01-22T22:40:00,Simulated process instance, Variant 21,21, complete, Register,,,,System,System,,
1002,1970-01-22T22:40:00,1970-01-22T22:50:00,Simulated process instance, Variant 21,21, complete, Analyze Defect,,3,,Tester2,Tester2,T3,
1002,1970-01-22T23:12:00,1970-01-22T23:32:00,Simulated process instance, Variant 21,21, complete, Repair (Simple),,,,SolverS3,SolverS3,,
1002,1970-01-22T23:26:00,1970-01-22T23:26:00,Simulated process instance, Variant 21,21, complete, Inform User,,,,System,System,,
1002,1970-01-22T23:32:00,1970-01-22T23:40:00,Simulated process instance, Variant 21,21, complete, Test Repair,TRUE,,1,Tester4,Tester4,,
1003,1970-01-22T07:43:00,1970-01-22T07:43:00,Simulated process instance, Variant 35,35, complete, Register,,,,System,System,,
1003,1970-01-22T07:43:00,1970-01-22T07:49:00,Simulated process instance, Variant 35,35, complete, Analyze Defect,,1,,Tester5,Tester5,T3,
1003,1970-01-22T08:08:00,1970-01-22T08:14:00,Simulated process instance, Variant 35,35, complete, Repair (Simple),,,,SolverS1,SolverS1,,
1003,1970-01-22T08:14:00,1970-01-22T08:20:00,Simulated process instance, Variant 35,35, complete, Test Repair,FALSE,,1,Tester6,Tester6,,
1003,1970-01-22T08:19:00,1970-01-22T08:19:00,Simulated process instance, Variant 35,35, complete, Inform User,,,,System,System,,
1003,1970-01-22T08:27:00,1970-01-22T08:27:00,Simulated process instance, Variant 35,35, complete, Restart Repair,,,,System,System,,
1003,1970-01-22T08:27:00,1970-01-22T08:41:00,Simulated process instance, Variant 35,35, complete, Repair (Simple),,,,SolverS3,SolverS3,,
1003,1970-01-22T08:41:00,1970-01-22T08:51:00,Simulated process instance, Variant 35,35, complete, Test Repair,TRUE,,2,Tester6,Tester6,,
1004,1970-01-22T11:27:00,1970-01-22T11:27:00,Simulated process instance, Variant 12,12, complete, Register,,,,System,System,,
1004,1970-01-22T11:27:00,1970-01-22T11:34:00,Simulated process instance, Variant 12,12, complete, Analyze Defect,,1,,Tester1,Tester1,T1,
